PC1,PC2,target
-1.5613000591689732,-2.075091166145882,0
-3.0673046322792263,-1.9232601715790714,1
-3.749194441172498,-0.046765137243029026,1
1.4731695397409614,0.8128344246497033,0
2.6358360615488525,-1.3002944339220286,0
2.928913650273201,0.979428221797847,0
-1.3647934912854678,-2.404881401479694,1
1.1121048516076484,0.2847999759360381,0
-2.3632536330291347,-0.36887234481685766,1
-2.72297240924811,-0.23779320405686624,1
-1.0082443203717082,1.6331224318275928,0
0.6625605342235088,-2.156246781037596,0
-1.669680522911701,-1.2247839448791376,1
2.066524609273966,2.230009009713521,0
1.0538505909019757,1.1525874381509114,0
2.346279445709746,0.6701313577204205,0
0.7386591697434762,2.2439789756530515,1
1.327032470999516,0.9213599039801165,0
2.6904893126694867,0.16669835914510375,0
2.9401210934644677,0.8944484759954422,0
-0.8585724099535864,-1.3305898546326766,0
1.341637823087862,-3.1115661118298203,0
0.4857006840918675,-1.4241742604629004,1
-0.370937461121728,-0.6388838987471905,1
-3.5423586080573397,0.10557744003101274,1
1.4079377011363003,0.5005174825610563,0
2.963145789495959,-0.293246630504524,0
-0.15381225484071517,-0.662663853462935,0
1.5588065652423806,1.0137493479256279,0
-2.5844563172170987,1.1749299095913934,1
1.0722550111825024,-0.6865461321108768,0
-1.1201589778584147,1.9437193832167947,1
2.282166271879198,-0.13724456816451286,1
-1.0302349633425965,1.9921978183351934,0
2.487699309452085,1.152422009966567,0
2.1672870790717638,1.2534079866000332,0
-2.7800170203303742,0.9275347609866558,1
-3.122139260006937,-0.8495542861232983,1
-2.467724021934921,1.7603720228205104,1
-0.11611706618007858,0.2011507751961523,0
-3.0889418080037427,-1.1305964747369883,1
0.6394337553849189,2.1319519166418726,0
1.9099652721079485,-0.7988422730537119,0
1.9079703629802844,0.10942807521246833,0
1.2320013810735193,-2.232252491707346,1
-1.1743835047652558,-0.31819052856588087,1
2.311859663700113,1.3226389220459107,0
-2.536515821833426,-0.15665884177129566,1
1.2336589534865414,-3.6185068359133936,0
0.6326684628590084,-1.773261436573644,0
3.4713975494383207,1.136909889773715,0
-0.003557355830770198,2.295779248174472,0
1.0714812117234378,-0.9740026952571356,1
2.9086677221676998,-0.9544090629848537,0
-1.0909221738687298,2.0952560817045045,1
-3.4564646520857254,0.1391662177448799,1
-0.12072055343547629,1.702121983550703,1
0.35474742243780116,0.8238676166474483,1
0.6182050911924846,-1.8383134067065268,0
0.1819569326777783,-1.2837147537720441,0
-1.69997214766283,1.6652406629516385,1
0.5474689239639117,-1.605380439589972,0
-3.69858462596717,0.05977321522109655,1
2.850635740207449,-0.5325474262079566,0
-1.9007760639213327,2.4862812083730335,1
-3.700536236213214,-0.4437154867998084,1
-0.13829383021348332,-1.4917867550450679,1
0.3931905321096985,-0.638215257318618,0
-3.3588483780736755,-0.9781921961732853,1
0.36249504693626394,0.68643574329331,1
2.1244788404253137,-0.5253497151517321,0
-1.651916840056052,1.355180078373665,1
-3.289808883727336,2.1026112242024855,1
-0.7858566046948995,-0.8128988374543636,1
1.5148931106753991,-0.540666891833688,1
1.443537274619672,-3.18737943217561,0
-3.313685152354586,-0.016575923748894637,1
1.3876489342044662,-2.432169478710145,0
1.3810476372495364,-1.1395792289030129,0
-1.8248981800274262,-0.23803491058155649,1
-1.2713560643327821,-0.1873885425626095,0
-0.22597908843013972,-1.6792641064980385,0
2.580384400116713,-1.6713571066690196,0
-2.3098148776594725,-1.579682792639509,1
2.993827641446419,0.6665546046978273,0
2.5435073894292457,-1.3857465120382753,0
2.1426610874091305,-1.5099342102929958,0
1.8086197205436352,-1.7969442544486545,0
1.3419119594868918,-1.6769111112573714,0
2.1172679969342667,-2.0000312215475313,0
-0.6146495735946349,-1.555712780408894,0
-3.7577598370685212,-1.1404980455051765,1
-1.3476528441075035,1.4144113904085838,0
2.2040969069558045,1.13856816680739,0
2.2728611665192964,-2.353015918190569,0
-0.3013782496384698,2.286985336506324,1
-2.7287339939212734,0.28091211278658157,1
-2.62641720664612,-1.1456765945634806,1
2.452799681776557,1.0203302010203217,0
1.6834638120210184,-0.8355708521035625,0
1.7374790624377263,-0.8564293908399604,0
2.497645860490727,-0.8610582233027305,0
0.9865907727843284,-2.047293169130249,0
1.3253689169329703,-2.655852980327138,0
-1.0985318417895489,2.055006043937153,1
1.646221024331053,1.938273007672985,0
-0.4291783980899371,2.339323964393944,1
-0.8951194716313888,-0.45907446412395175,1
-2.9488983632896626,2.180838890226837,1
-0.9382972227373162,2.7675636811899413,1
-2.4944098809365824,-0.9400442227152381,1
-1.6225161766316873,-1.2841085095121316,1
-0.058966148565692524,-0.78132858328193,0
-2.8441871374364758,-0.8321725219575413,1
-1.1646112485742417,0.9645355634673574,1
0.41142464489764313,1.9139421348973318,0
1.949644124454753,-1.9173539763715848,0
2.296217432522762,1.1364187054912906,0
-2.695954259208306,-0.9680781826619393,1
-3.0849803886697678,-0.459041622083217,1
-1.3180389424345478,-0.20371025990763583,1
-3.520207833822085,-1.9896509057778258,1
0.5957290729491181,1.4594675418736616,0
-3.347429320717628,2.1872929719787875,1
-0.4032608430093376,-2.691471900256068,1
1.5203827411480488,-1.513383568029592,0
-4.0643617473555,-2.055872222089276,1
-2.681224408603654,2.5854484313121797,1
3.3146545923919835,1.3532558877131975,0
1.891755497949574,0.5618420010147284,0
-0.609676382280332,-0.3508218985517438,0
0.8684576351403469,2.484517478189186,0
3.440291710367897,-0.540364468246599,0
0.8683434650148057,-1.0704412590192456,0
2.023848524484628,0.6687555821158556,0
0.8485898403805848,-1.8750251857074487,0
-2.662509997669076,1.962991105829745,1
-1.7396781637260856,-0.43221275632180706,1
-1.6698041070054492,3.1842401923865418,1
0.2809352565099128,-1.7126749071162344,0
2.188569740176582,0.9916660531488585,0
-1.252663153018877,-1.461087112718831,1
3.1792402784921783,0.7945484271215218,0
-1.5125352216961343,1.5323182425807114,1
-1.1237834570120377,0.04658263994403397,0
2.8859271781488234,1.093328633492962,1
-3.303884552283775,-1.2546572729003223,1
3.3459621829723853,1.1260045876485898,0
2.5552975427294293,-1.3514545280105368,0
2.6598145358239953,-0.0805315095073377,0
-0.5372345868415532,0.698682688381566,0
-0.141348904926646,-1.0604754505630898,0
-1.1204932193403814,-2.5562312011130492,0
-2.8796689293973468,-0.46194024431138586,1
-2.32081030462521,-1.222403797678398,1
-2.6177890541314035,-2.0430688416430702,1
-0.4350903052480345,2.014516057545812,1
-0.5673279345723066,-0.5238251889139727,1
-2.286197785478516,-0.6979115624482566,1
0.5626923534753262,1.3175224920337647,0
1.8791165720823273,2.4137934435490958,0
-0.6950899459396671,-1.9054092820323985,1
1.392483884763882,0.5485733549414415,0
-0.5634473425767892,-1.3411954979413319,0
2.4573316363934246,0.32406110391106985,0
-0.04523661762802954,2.4089139840936236,0
2.832595211246069,0.6870856621364704,0
1.5008541787081047,-2.1722885999744195,0
-0.3602585755786149,0.49806175315108825,1
1.9697763334023441,1.2652191954463265,0
-2.6196662994225752,1.0997049481609327,1
-1.3986183762291675,0.18681259762881527,0
-0.5234148929706883,0.12712904942494416,1
-0.662091562552354,-2.642757996468662,0
-2.928419711696341,-0.9928235614946629,1
-3.145125420817266,1.8909249985273409,1
-0.3715859597701331,1.938908193067438,0
-3.373773627327541,-0.17436275396094275,1
2.129065799837304,0.497030879072995,0
1.467045818232272,-2.0680816427487456,0
-1.2818675393119092,0.023212750102692605,1
-3.101305907482095,-1.3184823810665822,1
1.412081626651674,-1.85685820895004,0
-2.307458334865171,-1.6665447454759459,0
0.9906940187225113,-2.419409309945938,1
2.6742667985429653,0.11756385950284265,0
0.9064344950157758,1.6171107212636993,0
-1.8181816518909126,0.8444322696719698,1
0.8247532696919048,-1.239436475692861,1
-2.2295312567152488,-1.1540170117955046,1
2.885163953138174,0.9766368278378205,0
-3.793471972523451,1.8742683066446286,1
-2.099915384656272,0.11119131522739364,1
-1.6653732249414255,-0.4667888922740243,1
-0.11082009825538577,-2.0168516283758735,0
-2.0565221225732975,-1.2060292951255387,1
-0.8103225816462173,-2.775347492591955,0
-0.48475519710807324,-1.225522210927207,0
2.9901053379866838,0.6009726750817909,0
0.9140891822268119,-2.3377756127543545,1
1.5544374127014386,-1.3604775133543576,0
0.6392034696944763,-0.4576664017178856,0
1.1608052724662685,1.5560097860965645,0
0.913734704476051,0.5732090178612989,0
0.8912427663357824,2.761670967511078,0
-2.8086449608591932,-0.244437502017448,1
-3.7346252517540193,-0.07050439443328796,1
-2.605530596373514,0.3612404240306901,1
2.759767257729154,0.7891360708245198,0
-0.6527301272351862,0.3511877668829921,1
3.535451073084634,0.7980013461511911,0
-1.0622526579379052,2.2831120285397932,1
0.7502997164512061,-1.0635637996917626,0
-2.4868161541147997,0.5930600555501293,1
1.6452039875044973,1.2797187626588744,1
-1.1662046911407435,-0.35028529085004273,0
3.651411245377524,1.0572081922731522,0
-0.4608072983523053,-1.2816755234351405,0
-1.1209910097276423,-0.08055613060034292,0
1.2294809094943762,-1.517013038562555,0
2.296026681805903,-1.3874305879028672,0
2.5608786081952726,-1.8770072594747766,0
3.802428319550702,1.1282056695378058,0
-3.2389435657453083,2.2155894194404016,1
-0.8155140269593527,0.5526256674890223,1
3.901476637895145,1.1355452345052064,0
1.7690114719886862,1.6126440842938667,0
2.3884301230083764,-0.6715386961945118,0
-1.4794092595564219,-0.48473782925484055,1
-0.2137629900682058,-0.8756720303200399,1
1.2526346186820032,-1.8117704413597102,0
-2.7216728638913823,-1.7185769526331391,1
1.0106270646992066,-0.9977006060594665,1
0.7163549447368158,-2.0506352447489915,0
2.583949591390782,-0.09018296195947542,0
-2.642563781514902,-1.0956985189281763,1
-3.1127253596809,-0.5017352463345801,1
-0.31128713189160345,0.23582158750544982,1
1.9348089118406016,0.35737529144030394,0
3.1641800851512922,1.0584826276777497,0
3.1990022746124933,1.4941621231124567,0
3.3837488439743773,0.4559283417256292,0
2.0657729382137906,0.5197162779730485,0
-0.49037632887096616,0.13081269601067888,1
1.9655602108376347,0.17743687351572643,0
-1.2173845825961056,0.9841441424980387,1
0.2690971166992248,2.347578591763391,1
-1.54017466685829,-0.6547330525376691,1
-0.06082586958574697,2.204570155572755,1
1.7812159080746295,-1.58194742121438,0
-2.000628100574545,2.209939029973889,0
-2.461643637223051,1.9437601603771717,1
-2.629258324047392,2.0480045171159778,0
2.2192144846847492,-2.0716387038920367,0
0.6903171179652824,1.1867777377500222,0
2.2248336816969987,0.7272568921496575,0
1.038611822329766,0.4703778684611139,0
-0.5876827553699984,-1.7338143008848728,0
1.5369297145188079,-1.9621299581033456,0
1.2483183090391763,1.914509904247516,1
1.5110429517887134,0.5018829101291298,0
1.6033941909542193,-2.7630585564143892,1
2.195127667044984,-0.4702745400658002,0
3.121001283660135,1.081437013566363,0
-2.5064445636378125,-0.8321321967479196,1
-2.0704407172102846,1.7218999414198652,1
-0.46256327028256794,1.2183157102930031,1
-1.0310421037793922,0.8689236448528573,1
0.9365568896000641,2.249190358502441,1
2.895336545476408,1.2457072241108884,0
-1.9248351039899159,-0.000228526507704248,1
-1.355872475624388,-1.182931816086644,0
-2.8410585992920923,2.0153657665637934,1
-0.3473155907037766,0.8336660676513571,0
1.5492580126217335,0.2817326810016876,1
-1.4525547393742786,-1.2916778881614805,0
0.3451070474755954,-2.7053827298380395,0
1.8760137734625495,0.5541536356424205,0
1.888849926350464,-1.661726843577262,1
0.11102055352961143,0.6996734328019941,0
-2.6809216424221596,2.044008493771341,1
3.0940935975450543,0.751434680422829,0
-3.1700386782299983,0.47845433892276773,1
3.5829620904673996,1.6715639472843724,0
0.018667287785136728,1.8376983604856973,1
-3.5633171840402906,-0.6085842857696049,1
-3.4690723024712544,-1.8196012753820576,1
0.031275129872191734,2.0913060183290235,0
1.0694978329749798,-0.14173071449216848,0
2.0078931534534292,0.8006400476567866,0
-1.1161418496660316,-0.8365462166688518,1
2.7174671585084273,-0.12749008247129806,0
-1.6140199169149667,2.3301169686172276,1
-2.6696256655022204,-0.040177833317370154,1
-0.31674911938488226,0.885042474586908,1
3.6138494009770645,1.7070927930095807,0
-3.3164054749969987,-1.2087287610735922,1
-1.8102371405671518,1.7253376038326518,1
-0.5756043877531826,1.9082433917137553,1
-2.884023461660711,1.403000253247434,1
-2.472613649157169,2.7961806701480927,1
1.1636400986159035,-1.8798997459517195,1
3.245520202492538,1.243008873335651,0
